제목,날짜,기자명,본문
"민주 “尹, 법꾸라지 꼼수 부리다 출석…철저히 수사해야”",2025-06-28 11:27:00,구독,"더불어민주당은 28일 윤석열 전 대통령의 내란특검 소환 조사와 관련 “특검 출석이 면죄부가 될 수 없다”며 “윤석열은 역사와 국민 앞에 무릎 꿇고 사죄하고, 마땅한 법적 책임을 져야 한다”고 강조했다.백승아 민주당 원내대변인은 이날 오전 서면브리핑을 통해 “윤석열이 법꾸라지처럼 온갖 꼼수를 부리다 오늘 마침내 특검 조사에 출석했다”며 이같이 밝혔다.백 원내대변인은 “그동안 윤석열은 망상에 가까운 궤변과 거짓 해명으로 책임을 회피해 왔다”며 “국민의 눈과 귀를 피해 보겠다는 부끄러운 행태”라고 꼬집었다.이어 “국민들은 이 같은 법꾸라지식 꼼수와 권력 남용에 분노하고 있다”며 “윤석열은 과거 ‘특검을 거부한 자가 범인’이라 했지만 정작 자신은 김건희와 가족을 감싸기 위해 대통령 거부권을 행사하며 특검 도입을 막아섰고, 권력을 동원해 진실을 가로막았다. 스스로가 범인임을 자백한 것이나 다름없다”고 주장했다.그러면서 “오늘의 특검 출석은 진실 규명의 출발점일 뿐”이라며 “만약 또다시 진실을"
“스마트폰 안터지고 평온이 찾아왔다”… ‘힐리언스 선마을’서 마주한 고요의 세계[동아리],2025-06-28 11:00:00,김상준,"‘민간 치유의 숲’으로 이름을 알린 강원도 홍천 힐리언스 선마을에 도착하자 도시의 소음이 완전히 사라졌다. 자동차 경적, 기계음, 사람들의 소란스러운 대화가 끊기고, 산골짜기 사이로 부는 바람과 새들의 지저귐만이 남아 고요함이 감돌았다.‘수면 치유 공간’, ‘자연 속의 쉼’ 등의 수식어로 유명해진 힐리언스 선마을을 직접 찾아가 체험했다. 이 시설에서는 인위적인 소음 공해를 철저히 차단한 환경을 제공하며, 자연의 소리가 방문객의 뇌파를 안정시키고 깊은 수면 단계인 ‘서파 수면’을 가능하도록 하면서 알려지기 시작했다.강원 홍천 ‘힐리언스 선마을’ 체험… 리조트 전체 스마트폰 통신불가시설 전체는 철저한 ‘디지털 디톡스 존’으로 운영된다. 스마트폰 통신 신호가 차단되고, TV 같은 전자기기도 없다. 블루 라이트가 수면 호르몬인 멜라토닌 분비를 억제한다는 연구 결과를 바탕으로, 디지털 자극을 배제해 뇌가 깊은 휴식에 몰입할 수 있도록 전체 환경을 조성했다.객실에 들어서자 ‘비움’의 철학이 돋"
"北, 우라늄 폐수 정화없이 서해로 흘렸나…위성에 찍힌 녹조 확산 현상",2025-06-28 11:00:00,사콘텐츠,"북한 황해북도 평산의 우라늄 정련공장에서 정화되지 않은 방사성 폐수가 서해로 흘러간 정황이 확인됐다. 본지가 입수한 위성사진 분석 결과, 폐수는 예성강을 따라 강화만과 경기만을 지나 서해로 유입됐을 가능성이 큰 것으로 나타났다.“북한, 정화 없이 오염수 흘러보내”…녹조 ↑, 물빛 탁해져원격탐사 전문가 정성학 박사(한국우주보안학회)는 미국 환경체계연구소(ESRI)의 ‘월드뷰-3’ 위성사진을 분석해 북한 평산 우라늄 정련공장의 침전지에서 외부로 이어지는 배수로와 침출수 흐름을 확인했다.2023년 1월, 미국 위성 전문가인 제이콥 보글은 침전지 외부로 연결된 배수로 공사를 포착했다. 같은 해 10월에는 침전지와 연결된 지하터널을 통해 침출수가 외부 소하천으로 흘러나가는 모습이 위성에 선명히 찍혔다.침전지는 고형 폐기물을 가라앉혀 저장하는 인공 구조물이며, 침출수는 이곳에서 분리된 오염된 물(폐수)이다. 정 박사는 “해당 폐수가 약 2km를 따라 예성강과 합류하고, 이후 강화만과"
"尹측 “특검, 법-절차 위반하며 폭주…피의자 인권 존중 전혀 없어”",2025-06-28 10:53:00,송은석,윤석열 전 대통령 측은 28일 공개 출석 방침을 고수한 조은석 내란 특별검사를 향해 “법령과 적법절차를 위반해 폭주하는 특검은 법위의 존재이냐“며 “피의자의 인권에 대한 존중이 전혀 없다”고 강하게 반발했다. 윤 전 대통령 측 변호인단은 이날 오전 입장문을 내고 “수사기관이 일방적으로 통보하거나 출석 장면을 공개해 피의자의 인권을 침해해서는 안 된다”면서 이같이 말했다. 당초 윤 전 대통령 측은 비공개 출석을 요구했으나 특검 측이 정문을 통한 공개 출석을 하지 않으면 출석 불응으로 간주하겠다고 하면서 양측의 신경전이 이어졌다. 결국 윤 전 대통령은 이날 서울고검 청사 정문으로 공개 출석했다. 윤 전 대통령이 수사기관의 소환 요구에 포토라인에 선 채 공개 출석한 것은 이번이 처음이다. 윤 전 대통령 측은 대통령령인 ‘검사와 사법경찰관의 상호협력과 일반적 수사준칙에 관한 규정’을 인용해 “출석요구를 할 때는 피의자와 조사 일시·장소를 협의해야 한다고 규정하고 있는데 특검은 이 규정을 모
아이폰 매년 2차례 출시?…내년부터 프리미엄·기본 모델 따로 낼까,2025-06-28 10:46:00,구독,"애플이 아이폰 신작을 1년에 2번씩 공개할 것이라는 전망이 나왔다. 현재 삼성전자가 상반기 S시리즈, 하반기 폴더블폰 Z시리즈를 내는 것처럼 애플도 하반기에 프리미엄폰, 상반기에 기본·보급형폰을 선보일 것이라는 주장이다.28일 나인투파이브맥 등 외신에 따르면 애플은 올해 아이폰17 시리즈의 라인업을 변경한 데 이어 내년 아이폰18 시리즈에서도 ‘폴더블 아이폰’을 선보이며 라인업을 바꿀 전망이다. 특히 아예 고가 프리미엄 아이폰과 기본·보급형 아이폰을 따로 출시할 것으로 관측되고 있다.애플은 기존의 기본·플러스·프로·프로 맥스 등 4종의 아이폰 라인업에서 올해는 가장 판매량이 적은 플러스 대신 슬림형 신작인 ‘아이폰17 에어’를 선보일 예정이다.내년 아이폰18 시리즈에서는 또 한 번의 개편이 이뤄질 가능성이 제기됐다. 매년 아이폰 신작이 공개되는 9월에 기본 아이폰18이 공개되지 않을 것이라는 주장이다. 9월에는 상위 모델인 아이폰18 에어, 프로, 프로 맥스, 폴드만 출시될 것으로"
다이애나비가 병문안 때 입은 꽃무늬 ‘돌봄 드레스’ 7억에 팔려,2025-06-28 10:33:00,구독,"영국의 고(故) 다이애나비가 생전 어린이들을 만나려 병원을 찾을 때 입었던 꽃무늬 드레스가 52만 달러(약 7억 원)에 팔렸다.CNN 방송에 따르면 26일(현지시간) 미국 캘리포니아에서 ‘프린세스 다이애나의 스타일 & 로열 컬렉션’이라는 제목으로 캘리포니아주 베벌리힐스 페닌슐라 호텔에서 열린 경매에서는 다이아내비가 입었던 옷과 모자, 핸드백, 신발, 그가 직접 쓴 손 글씨 편지 등 100점 이상이 경매에 부쳐졌다.이 중 그가 1988~1992년 여러 공개 행사에서 입은 ‘돌봄 드레스’(Caring Dress)는 6자리 숫자의 가격을 기록한 10점 중 하나였다. 다이아내비는 1988~1992년까지 나이지리아 방문 등 각종 공개 행사에서 돌봄 드레스를 입었다. 이 드레스는 밝은 꽃무늬 색상으로, 병든 환자들의 마음을 편안하게 해준다며 돌봄 드레스라고 불렸다.그 외에 프랑스 영부인이었던 베르나데트 시라크가 선물한 양가죽 디올 핸드백은 32만 5000달러(약 4억 4000만 원)에,"
尹측 ‘공개 소환’에 “적법절차 위반” 반발…“조사에는 응할 것”,2025-06-28 10:27:00,구독,"윤석열 전 대통령이 12·3 비상계엄 관련 내란·외환 사건 수사를 맡은 조은석 특별검사팀의 소환 통보와 관련해 “법령과 적법절차를 위반해 폭주하고 있다”고 반발하면서도 조사에는 응하겠다는 입장을 밝혔다. 윤 전 대통령 측 변호인단은 28일 입장문을 통해 “수사기관은 피의자에게 출석을 요구할 때 피의자의 명예 또는 사생활의 비밀이 침해되지 않도록 해야 하고, 조사 일시·장소에 관해서도 사전에 협의해야 한다”며 이렇게 말했다. 변호인단은 특히 “수사기관이 일방적으로 통보하거나 출석 장면을 공개해 피의자의 인권을 침해해서는 안 된다”면서 “이것은 수사기관에 대한 단순한 권고가 아니라 법령으로 수사기관에 부여된 법적 의무”라고 강조했다.변호인단은 “체포영장이 기각되자 변호인과 사전 협의 없이 출석 일시를 일방적으로 언론에 공개했고, 문재인 정부가 폐지한 포토라인과 유사한 공개소환 방식을 강요하고 있다”며 “법령에 의해 변호인이 날짜와 시간의 조율을 요청했으나 거부했고, 단순히 지하 주차장으"
G20 정상회의 준비회의…韓 “국제법 존중 외교해법”,2025-06-28 10:26:00,구독,"외교부는 주요 20개국(G20) 정상회의 준비를 위한 고위급 회의에서 유엔헌장·국제법에 기반한 외교적 해법을 강조했다고 28일 밝혔다. 송인창 G20국제협력대사는 25~27일 남아공 선 시티에서 개최된 2025년 제3차 G20 셰르파회의에 참석해 오는 11월 개최 예정인 G20 정상회의의 제반 사항에 대해 논의했다. 셰르파는 정상회의에서 정상을 직접 보좌하고 회의 의제 등 준비를 총괄하는 정부 고위관료를 뜻한다.참석자들은 ▲4년차에 접어든 러-우 전쟁 ▲이란-이스라엘간 무력 갈등을 포함한 중동 정세 ▲수단, DR 콩고 등 아프리카 내 분쟁이 평화적인 방법으로 조속히 해결돼야 한다고 촉구했다.송 대사는 국제사회가 유엔헌장과 국제법에 대한 존중을 바탕으로 외교적 해법을 통해 지속가능한 평화를 달성해가야 한다는 우리 정부 입장을 강조했다.아울러 의장국 남아공을 비롯해 일본, 영국, 프랑스, 중국, 인도네시아, 호주, 아르헨티나 등 다수 회원국들과 정식·약식 양자협의를 가졌다.또 G20 정"
"박성현·윤이나, LPGA ‘2인 1조’ 팀 대회 2R 공동 9위로 껑충",2025-06-28 10:23:00,구독,"박성현과 윤이나가 미국여자프로골프(LPGA) 투어 팀 대회 둘째 날 10위 안에 진입했다.박성현과 윤이나는 28일(한국 시간) 미국 미시간주 미들랜드의 미들랜드 컨트리클럽(파70)에서 열린 대회 2라운드에서 10언더파 60타를 쳤다.1라운드 2오버파 공동 38위였던 둘은 중간 합계 8언더파 132타를 기록, 공동 9위로 순위를 크게 끌어올렸다.이번 대회는 두 명의 선수가 짝을 이뤄 1, 3라운드는 공 하나를 번갈아 쳐 좋은 성적을 내는 포섬, 2, 4라운드는 각자 볼을 쳐서 매 홀 더 나은 스코어를 팀 성적으로 삼는 포볼 경기로 순위를 가린다.LPGA 투어 7승을 쌓은 박성현은 최근 몇 년간 부상 여파로 하락세를 보였다.이번 시즌도 숍라이트 클래식 공동 29위가 개인 최고 성적이다.올해 미국 무대에 진출한 윤이나도 이달 초 US여자오픈 공동 14위가 가장 높은 순위다.반등을 위해 뭉친 이들은 2라운드 10위권 이내로 진입하며 역전 우승까지 노릴 수 있게 됐다.2라운드 단독 선두(13"
"에스파, 서울 단콘 전 회차 전석 매진…독보적 티켓 파워",2025-06-28 10:22:00,구독,"그룹 에스파(aespa)가 세 번째 서울 단독 콘서트를 전 회차 전석 매진시키며, 독보적인 티켓 파워를 다시 한번 입증했다.28일 소속사 SM엔터테인먼트에 따르면 ‘2025 에스파 라이브 투어-싱크: 엑시스 라인-인 서울’(2025 aespa LIVE TOUR - SYNK : aeXIS LINE - in SEOUL)은 팬클럽 선예매(26일)와 일반 예매(27일)를 통해 총 3일간의 공연이 시야 제한석까지 모두 매진되어, 에스파의 폭발적인 인기를 실감하게 했다.이번 콘서트는 8월 29일부터 31일까지 서울 올림픽공원 KSPO 돔에서 열리며, 에스파의 세 번째 월드 투어의 시작을 알리는 공연인 만큼, ‘더티 워크’(Dirty Work)를 비롯해 다양한 신곡 무대를 포함한 다채로운 스테이지로 꾸며질 예정이어서, 글로벌 음악 팬들의 뜨거운 반응이 기대된다.특히, 에스파는 2023년 잠실실내체육관에서의 첫 단독 콘서트 ‘싱크: 하이퍼 라인’(SYNK : HYPER LINE)과 2024년 두"
"경남 이강희, 오스트리아 빈과 4년 계약…“꿈꿨던 유럽 무대”",2025-06-28 10:22:00,구독,"연령별 대표팀을 거친 이강희(24)가 오스트리아 명문 구단 오스트리아 빈에 입단했다.오스트리아 빈은 27일(현지시간) 구단 공식 홈페이지를 통해 “경남FC 소속의 이강희를 데려왔다. 메디컬 테스트를 마쳤고, 곧바로 팀 훈련에 참여할 예정”이라며 “계약기간은 2029년까지 4년”이라고 밝혔다.이강희는 2019년 수원 삼성에 입단하며 프로 생활을 시작했지만 좀처럼 출전 기회를 잡지 못했다. 이에 그는 2022년 부산 아이파크, 2023년 경남에서 임대 생활을 했다.경남에서 좋은 활약을 펼친 이강희는 2023년 7월 완전 이적했다. 이후 이강희는 꾸준히 경기에 나서면서 자신의 기량을 펼쳤다.소속팀 활약으로 이강희는 20세 이하(U20) 대표팀과 23세 이하 대표팀(U23)에도 선발되는 등 가치를 높였다.이강희는 189㎝ 장신 미드필더로 중원은 물론 중앙 수비수와 최전방 공격수 역할까지 소화할 수 있는 다재다능한 선수다.이강희는 “어린 시절부터 꿈꿨던 유럽 무대에 진출, 의욕이 남다르다”면"
금연구역서 흡연자 밀친 40대 2심도 무죄…“정당방위”,2025-06-28 10:21:00,구독,"금연구역에서 흡연자와 말다툼하다 밀쳤다는 이유로 재판에 넘겨진 남성이 항소심에서도 무죄를 선고받았다.28일 법조계에 따르면 수원지법 제2형사항소부(부장판사 김연하)는 폭행 혐의로 기소된 A 씨(41)에 대해 원심판결 그대로 무죄를 선고했다.A 씨는 2023년 5월 4일 경기 이천지역의 한 횡단보도 일대에서 담배를 피우는 B 씨(62)와 말다툼하며 B 씨 몸을 약 4차례 밀친 혐의(폭행)로 기소됐다.A 씨는 당시 담배 냄새를 맡자 혼잣말로 욕했고, 그 말을 들은 B 씨가 횡단보도를 건너던 A 씨를 잡아 시비가 붙었다.그러나 A 씨는 “날 멈춰 세운 건 B 씨”라며 자신의 행위는 “폭력이 있을 것 같고 계속 길을 막아서고 있어서 밀어낸 것 정도의 행위로 정당방위”라고 주장했다.이 사건 1심 재판부는 A 씨의 손을 들어줬고, 검찰의 항소로 이뤄진 2심에서도 항소심 재판부는 원심 판단을 인용했다.2심 재판부는 “B 씨는 젊은 A 씨가 자신한테 욕을 했다며 쫓아가 붙잡아 세우면서 유형력을 행"
"‘장동건♥’ 고소영, 53세에 건강 적신호 “이두건염 왔다”",2025-06-28 10:21:00,구독,"배우 고소영(53)이 이두건염을 앓고 있다고 밝혔다.지난 27일 유튜브 채널 ‘바로 그 고소영’에는 ‘고소영 가족이 안 사 먹고 직접 만들어 먹는 김밥&오이소박이’라는 제목의 영상이 올라왔다.영상에서 고소영은 “제가 김밥을 좋아한다. 그래서 오늘 아침부터 일어나서 재료 손질을 해놨다”고 말했다.이어 “여기서 킥은 박이다. 요즘은 박을 많이 안 넣는데, 저는 엄마가 어렸을 때 항상 박을 넣어주셨다. 추억의 김밥이다”고 덧붙였다.고소영은 “우리 집은 가족들 식성들이 조금 다 달라서 아들은 오이를 못 먹는다. 오이를 못 먹는 어른들도 굉장히 많더라”고 밝혔다.“저는 오이를 너무 좋아하고 지금이 오이를 진짜 많이 먹어야 될 제철이다. 오이가 제일 맛있을 때다. 그래서 오늘 오이 소박이를 한다”고 했다.이어 고소영이 김밥 재료 준비하는 모습도 공개됐다.김밥을 말던 고소영은 “아침부터 채를 너무 많이 썰었더니 힘이 없다”고 밝혔다.“제가 요즘 팔에 이두건염이 왔다. 일종의 오십견인가?"
노르웨이 왕자 성폭행 등 두 자릿수 범죄로 피소,2025-06-28 10:21:00,구독,"노르웨이 왕세자비의 장남 마리우스 보르 호이비(28)가 강간, 성추행, 상해 등 혐의로 기소됐다고 오슬로 경찰이 27일(현지시각) 발표했다. 사건 피해자는 두 자릿수에 달하는 것으로 알려졌다. 호이비는 메테마릿 왕세자비의 장남으로 노르웨이 왕위 계승자인 하콘 왕세자의 의붓아들이다. 지난해에도 여러 차례 체포됐으며 상해 및 재물 손괴 혐의로 예비 기소됐었다. 오슬로 경찰청의 안드레아스 크루셰프스키 검사는 성관계를 포함한 강간 1건, 성관계가 동반되지 않은 강간 2건, 성추행 4건, 상해 2건이 기소 내용에 포함돼 있다고 밝혔다.그는 “정확한 피해자 수를 밝힐 수 없으나 두 자릿수임은 확인할 수 있다”고 덧붙였다.왕실 대변인은 “사건이 사법 체계에 의해 정상적인 절차에 따라 진행 중”이라고만 밝혔다.호이비는 과거 왕세자 부부 및 그들의 두 자녀인 잉리드 알렉산드라 공주와 스베레 마그누스 왕자와 함께 살았으나, 현재는 따로 거주하고 있다.호이비는 아직 재판이 시작되지 않았고, 그 전까지는"
"캣츠아이 ‘가브리엘라’, 英 싱글차트 42위…헌트릭스 ‘골든’ 93위",2025-06-28 10:20:00,구독,"하이브와 게펜 레코드의 글로벌 걸그룹 ‘캣츠아이(KATSEYE)’가 새 싱글 ‘가브리엘라(Gabriela)’로 영국 오피셜 싱글차트에서 자체 최고 기록을 썼다.27일(현지시간) 오피셜 차트에 따르면, 캣츠아이가 지난 20일 발매한 ‘가브리엘라’가 오피셜 싱글 톱100 최신 차트(6월27일~7월3일)에서 42위로 데뷔했다.해당 차트 캣츠아이 최고 순위다. ‘날리(Gnarly)’에 이어 이 차트 두 번째 진입이다. ‘날리’는 해당 차트 최고 순위 52위를 기록했다.‘가브리엘라’는 세련된 팝 사운드에 라틴 감성의 어쿠스틱 기타가 어우러진 곡이다. 캣츠아이의 관능적인 에너지와 한층 성숙한 보컬 역량이 돋보인다.캣츠아이는 이번 주 싱글차트에 ‘가브리엘라’와 ‘날리(Gnarly)’‘ 두 곡을 모두 올렸다.’가브리엘라‘ 인기에 힘 입어 ’날리‘도 차트에서 동반 상승하고 있다. 계속 머물고 있다. 지난 주 83위보다 9계단 상승한 74위에 걸리며 해당 차트에 8주 진입했다.캣츠아이가 ’가브리엘라‘"
평택 반도체 공장 신축 현장서 노동자 추락… “정확한 경위 파악 중”,2025-06-28 10:17:00,황소영,지난 27일 오후 5시 경 삼성물산이 시공 중인 경기도 평택 고덕산업단지 내 삼성전자 반도체 공장 P4 신축 현장에서 협력업체 소속 근로자가 추락해 숨지는 사고가 발생했다.사고는 가스 배관 설치 작업을 마친 협력업체 소속 배관팀 소속 A씨(50대 여성)가 구조용 개구부를 통해 지상으로 내려오던 중 해당 개구부가 석고보드로 덮여 있다는 사실을 인지하지 못한 채 추락한 것으로 파악됐다. 추락 높이는 약 8미터로 A씨는 심정지 상태로 구조돼 인근 병원으로 긴급 이송됐지만 끝내 사망했다.해당 현장은 삼성물산이 시공을 맡고 있는 삼성전자 평택캠퍼스의 P4 신축 공사 구간으로 배관·전기·설비 등 다수의 협력업체가 투입돼 작업이 진행 중이다. 지난해 1월 삼성엔지니어링이 시공 중이던 같은 P4 공사 현장에서 유사한 추락사고가 발생한 데 이어 올해 삼성물산 시공 구간에서 또다시 협력업체 노동자의 추락 사망 사고가 발생했다. 같은 현장에서 반복되는 비슷한 유형의 중대재해에 대해 단순한 현장 과실을
"리셀가 3분의 1토막…화폐가 된 장난감, 팝마트의 운명은[딥다이브]",2025-06-28 10:00:00,사콘텐츠,"미국 로스앤젤레스 매장 앞엔 밤새 긴 줄이 늘어섰고, 영국 런던 매장에선 싸움이 벌어졌고, 서울 명동 매장엔 경찰이 출동했습니다. 급기야 6월 10일 중국 베이징에서 열린 경매에선 ‘라부부’ 인형 하나가 2억원에 낙찰돼 전 세계적 화제가 됐죠. 중국 장난감 기업 ‘팝마트(Pop Mart)’ 이야기인데요. 그런데 이게 무슨 일일까요. 겨우 보름 남짓 지난 지금, 중국 SNS에선 ‘라부부 가격 폭락’이 큰 이슈입니다. 천정부지로 치솟던 중고 판매가격이 갑자기 반토막 이하로 뚝 떨어졌기 때문이죠. 롤러코스터가 따로 없는 장난감 세계, 팝마트 현상을 들여다보겠습니다.*이 기사는 6월 27일 발행한 딥다이브 뉴스레터의 온라인 기사 버전입니다. ‘읽다 보면 빠져드는 경제뉴스’ 딥다이브를 뉴스레터로 구독하세요.https://www.donga.com/news/Newsletter중국의 디즈니? 산리오?아마 장난감에 관심 없던 분들도 팝마트 또는 라부부라는 이름을 최근 한 번쯤 들어봤을 겁니다. 팝마"
"尹, 내란특검 공개출석…내란 혐의 첫 조사 시작",2025-06-28 09:56:00,송은석,윤석열 전 대통령이 28일 검찰 청사에 마련된 특별검사 사무실에 첫 출석했다. 12·3 비상계엄 관련 내란·외환 수사를 맡은 조은석 내란 특검이 출범한 지 16일 만이다. 검찰총장 출신인 윤 전 대통령이 친정인 검찰 청사에서 대면 조사 받는 건 이번이 처음이다.윤 전 대통령이 탑승한 차량은 이날 오전 9시 55분경 서울 서초구 서울고검 청사에 도착했다. 미리 설치된 포토라인 앞에서 내린 윤 전 대통령은 ‘지하주차장으로 들어가지 않은 이유가 있는’ ‘조은석 특검을 8년 만에 피의자 신분으로 만났는데 어떻게 보시는가’ ‘이번에도 진술거부권을 행사할 것인가’ 등 기자들의 질문에는 답변하지 않고 그대로 청사 안으로 들어갔다. 특검에 따르면 윤 전 대통령에 대한 조사는 오전 10시 14분경 시작됐다. 통상 전직 대통령 예우 차원에서 조사 시작 전 갖는 티타임 진행 여부 등은 알려지지 않았다. 윤 전 대통령이 수사기관의 소환 통보에 공개 출석한 것은 이번이 처음이다. 윤 전 대통령은
정부 “美 관세 협상 아직 상황 엄중…미국과 치열하게 합의할 것”,2025-06-28 09:49:00,사콘텐츠,"여한구 산업통상자원부 통상교섭본부장이 27일(현지 시간) “현재 통상 환경이 매우 불확실하고 엄중한 상황”이라면서 “앞으론 실용주의적, 국익 극대화 관점에서 상호호혜적 합의안을 도출하기 위해 최선을 다해 미국 측과 협상할 계획”이라고 밝혔다. 여 본부장은 이날 미국의 수도 워싱턴에서 진행한 특파원단 간담회에서 “새 정부는 한미 협상을 최우선 순위의 하나로 생각하고 있다. 미 측에 지금부턴 우리가 협상을 가속할 준비가 됐다는 의지를 미국 측에 충분히 설명했다”며 이같이 말했다. 여 본부장은 이재명 정부 출범 후 미 측과 통상협상을 진행한 첫 고위급 인사다. 산업부는 여 본부장이 22일 미국에 도착해 이날까지 하워드 러트닉 상무장관, 제이미슨 그리어 미 무역대표부(USTR) 대표, 더그 버검 국가에너지위원회 의장 겸 내무장관 등 미 정부 인사와 통상 현안을 논의했다고 전했다. 또 마이크 존슨 하원의장, 제이슨 스미스 하원 세입위원장, 토드 영 상원의원 등 미 의회 주요 인사들도 만나 한"
"BTS 제이홉, 英 오피셜 차트 2주 연속 차트인…글로벌 인기",2025-06-28 09:16:00,구독,"방탄소년단 제이홉이 영국 오피셜 차트에 2주 연속 차트인하며 글로벌 인기를 구가 중이다.28일 발표된 영국 오피셜 차트에 따르면 방탄소년단 제이홉의 디지털 싱글 ‘킬링 잇 걸’(Killin’ It Girl (feat. GloRilla))은 최신 ‘오피셜 싱글 차트 톱100’(6월 27일~7월 3일 자) 81위를 기록했다. 또한 이 곡은 ‘싱글 다운로드’ 18위, ‘싱글 세일즈’와 ‘피지컬 싱글’에서 각각 19위를 차지했다.‘킬링 잇 걸’은 지난주 ‘오피셜 싱글 차트 톱100’에 30위로 진입하면서 제이홉 솔로곡 기준 최고 순위를 경신했다. 이는 그의 개인 작품 통산 8번째 오피셜 차트 진입이기도 하다.제이홉을 비롯한 방탄소년단 멤버들은 세계 최대 음원 스트리밍 플랫폼 스포티파이의 ‘위클리 톱 송 글로벌’(6월 20~26일 자)에서도 존재감을 드러냈다.진의 미니 2집 ‘에코’(Echo) 타이틀곡 ‘돈트 세이 유 러브 미’(Don’t Say You Love Me)는 6위, 지민의 미니"
"DJ 소다, 탈색 사고로 강제 삭발 “거의 매일 울었다”",2025-06-28 09:16:00,구독,"미용 시술 중 두피와 모발 손상 사고를 당한 DJ 소다(37·황소희)가 심경을 고백했다. 지난 26일 헤어 디자이너 ‘기우쌤’ 유튜브 채널에는 ‘DJ 소다님 SNS에 올라온 바로 그 사건 맞습니다’라는 제목의 영상이 올라왔다.영상에서 기우쌤은 “이번에 DJ 소다와 같이 촬영을 했다. 지금 상황을 보면 (유튜브) 촬영 때보다 지금 더 끊어졌다”며 DJ 소다의 헤어 상태에 대해 밝혔다.“현재로서는 반가발을 만들어야하나 하고 있는 상황”이라고 덧붙였다.이어 DJ 소다가 기우쌤의 미용실을 찾은 모습이 그려졌다.DJ 소다는 “이렇게까지 머리가 끊겨본 적이 없다. 제가 거의 3~6㎜ 이렇게 끊겼는데”라고 밝혔다.DJ 소다의 뒷머리를 본 기우쌤은 “거의 제 손바닥 정도가 날아갔다”고 말했다.기우쌤이 “뿌리 탈색을 하다가 이렇게 됐냐”고 묻자 DJ 소다는 “전체 탈색을 하다가 이렇게 됐다”고 답했다.이어 “제가 원래 갈색 머리였는데, 갈색이 지루해서 바꿔보자 하고 탈색을 했다”고 덧붙였다.DJ 소"
"조선서 대마도로 넘어간 소주, 후쿠오카 가까운 이키섬에 꽃피워",2025-06-28 09:14:00,구독,"이종격투기 선수 겸 방송인 추성훈이 자신의 유튜브 채널에서 일본 후쿠오카를 찾았다. 그는 후쿠오카 한 주점에서 음식에 소주를 곁들였는데, 그 이름이 눈길을 끌었다. 병에 적힌 글자는 히라가나로 ‘친구(ちんぐ·진구)’. 한국어 ‘친구’를 히라가나로 그대로 옮긴 것이었다. 이 독특한 이름의 소주는 어디서 왔을까.대마도와 달리 농업 가능한 이키섬이 소주는 일본 나가사키현 북서쪽 작은 섬인 이키섬(壹岐島)에서 생산된다. 이키섬은 규슈와 대마도(쓰시마섬) 사이에 위치하는데, 한반도와 지리적으로 가까운 만큼 오래전부터 문화적 교류가 활발했던 지역이다.이키섬은 일본에서 보리소주(麦焼酎) 발상지로 여겨진다. 흥미로운 건 그 기술적 기원이 조선과 연결돼 있다는 점이다. ‘조선왕조실록’ 조선 태종 4년(1404) 1월 9일 기록에는 이런 내용이 있다. “대마도 수호관 종정무에게 편지를 보내고 소주 10병과 마늘, 곶감, 잣 등을 함께 하사하였다.” 이는 일본이 인정하는 자국의 가장 오래된 소주 기록이"
"협박의 달인 트럼프, 압도적 군사력으로 이란 반격 의지 꺾어",2025-06-28 09:14:00,문영훈,"“서로 소모전 양상을 띠면서 이란도 탄도미사일의 한계를 느꼈을 것이고, 이스라엘 역시 요격미사일이 소진돼가는 상황이었다. 양국 모두 레버리지가 있는 상황이다 보니 트럼프의 휴전 제안에 응한 것이다. 트럼프는 확전이 아니라 크게 판을 흔들어 이란과의 핵 합의를 성공적으로 끌어내려는 목적에서 이란을 공격한 것이다.”이스라엘-이란 전쟁 휴전에 대한 인남식 국립외교원 교수의 설명이다. 미국이 이란 본토를 처음으로 공격한 지 72시간 만인 6월 24일 0시(미국 동부시간 기준·이하 현지 시간), 이스라엘과 이란의 휴전 협정이 발효됐다. 앞서 도널드 트럼프 미국 대통령은 23일 오후 6시 “이스라엘과 이란이 완전하고 총체적인 휴전(complete and total ceasefire)을 실시하기로 합의했다”고 밝혔다.롤러코스터 탄 12일미국은 6월 21일 0시 ‘한밤의 망치(Midnight Hammer)’ 작전을 개시했다. 핵 잠수함이 이스파한 핵시설에 토마호크 순항미사일 24발을 발사하는 것으"
